anio,semana_epi,casos,temp_media_c_lag1,temp_media_c_lag2,temp_media_c_lag3,temp_media_c_lag4,precipitacion_mm_lag1,precipitacion_mm_lag2,precipitacion_mm_lag3,precipitacion_mm_lag4,humedad_media_pct_lag1,humedad_media_pct_lag2,humedad_media_pct_lag3,humedad_media_pct_lag4,casos_lag1,casos_lag2,casos_lag4
2012,35,20,20.88571429,20.87142857,20.87142857,21.37142857,20.2,36.8,43.9,26.5,84,83.14285714,83.28571429,80.28571429,18,14,22
2012,36,21,21.3,20.88571429,20.87142857,20.87142857,0.7,20.2,36.8,43.9,79.71428571,84,83.14285714,83.28571429,20,18,8
2012,37,17,21.45714286,21.3,20.88571429,20.87142857,9.1,0.7,20.2,36.8,79.85714286,79.71428571,84,83.14285714,21,20,14
2012,38,26,21.51428571,21.45714286,21.3,20.88571429,9.7,9.1,0.7,20.2,81.57142857,79.85714286,79.71428571,84,17,21,18
2012,39,17,20.58571429,21.51428571,21.45714286,21.3,43.6,9.7,9.1,0.7,85,81.57142857,79.85714286,79.71428571,26,17,20
2012,40,21,21.22857143,20.58571429,21.51428571,21.45714286,23.1,43.6,9.7,9.1,82,85,81.57142857,79.85714286,17,26,21
2012,41,19,20.7,21.22857143,20.58571429,21.51428571,175.4,23.1,43.6,9.7,85.57142857,82,85,81.57142857,21,17,17
2012,42,18,20.95714286,20.7,21.22857143,20.58571429,53.1,175.4,23.1,43.6,83.57142857,85.57142857,82,85,19,21,26
2012,43,23,20.17142857,20.95714286,20.7,21.22857143,97.4,53.1,175.4,23.1,82.71428571,83.57142857,85.57142857,82,18,19,17
2012,44,27,21.07142857,20.17142857,20.95714286,20.7,91.5,97.4,53.1,175.4,81.71428571,82.71428571,83.57142857,85.57142857,23,18,21
2012,45,17,20.81428571,21.07142857,20.17142857,20.95714286,43.5,91.5,97.4,53.1,84.28571429,81.71428571,82.71428571,83.57142857,27,23,19
2012,46,27,20.68571429,20.81428571,21.07142857,20.17142857,122.2,43.5,91.5,97.4,86.42857143,84.28571429,81.71428571,82.71428571,17,27,18
2012,47,23,20.25714286,20.68571429,20.81428571,21.07142857,214.7,122.2,43.5,91.5,88.57142857,86.42857143,84.28571429,81.71428571,27,17,23
2012,48,32,20.94285714,20.25714286,20.68571429,20.81428571,36,214.7,122.2,43.5,85.14285714,88.57142857,86.42857143,84.28571429,23,27,27
2012,49,33,20.48571429,20.94285714,20.25714286,20.68571429,238.5,36,214.7,122.2,87.85714286,85.14285714,88.57142857,86.42857143,32,23,17
2012,50,29,20.38571429,20.48571429,20.94285714,20.25714286,152,238.5,36,214.7,85.85714286,87.85714286,85.14285714,88.57142857,33,32,27
2012,51,41,20.32857143,20.38571429,20.48571429,20.94285714,167.6,152,238.5,36,87.71428571,85.85714286,87.85714286,85.14285714,29,33,23
2012,52,46,20.41428571,20.32857143,20.38571429,20.48571429,83.9,167.6,152,238.5,86.28571429,87.71428571,85.85714286,87.85714286,41,29,32
2013,1,105,21.2,20.41428571,20.32857143,20.38571429,12.9,83.9,167.6,152,83.85714286,86.28571429,87.71428571,85.85714286,46,41,33
2013,2,104,21.27142857,21.2,20.41428571,20.32857143,4.9,12.9,83.9,167.6,83.71428571,83.85714286,86.28571429,87.71428571,105,46,29
2013,3,124,21.71428571,21.27142857,21.2,20.41428571,21.7,4.9,12.9,83.9,82.85714286,83.71428571,83.85714286,86.28571429,104,105,41
2013,4,117,21.11428571,21.71428571,21.27142857,21.2,133.2,21.7,4.9,12.9,85.57142857,82.85714286,83.71428571,83.85714286,124,104,46
2013,5,134,21.44285714,21.11428571,21.71428571,21.27142857,73.3,133.2,21.7,4.9,85.42857143,85.57142857,82.85714286,83.71428571,117,124,105
2013,6,118,21.48571429,21.44285714,21.11428571,21.71428571,47.4,73.3,133.2,21.7,85.14285714,85.42857143,85.57142857,82.85714286,134,117,104
2013,7,109,20.38571429,21.48571429,21.44285714,21.11428571,112.5,47.4,73.3,133.2,86.57142857,85.14285714,85.42857143,85.57142857,118,134,124
2013,8,150,20.31428571,20.38571429,21.48571429,21.44285714,37.6,112.5,47.4,73.3,85.42857143,86.57142857,85.14285714,85.42857143,109,118,117
2013,9,131,21.27142857,20.31428571,20.38571429,21.48571429,58.4,37.6,112.5,47.4,84.57142857,85.42857143,86.57142857,85.14285714,150,109,134
2013,10,124,21.7,21.27142857,20.31428571,20.38571429,25.3,58.4,37.6,112.5,83.28571429,84.57142857,85.42857143,86.57142857,131,150,118
2013,11,141,21.95714286,21.7,21.27142857,20.31428571,41.1,25.3,58.4,37.6,82.28571429,83.28571429,84.57142857,85.42857143,124,131,109
2013,12,145,21.7,21.95714286,21.7,21.27142857,75,41.1,25.3,58.4,84.42857143,82.28571429,83.28571429,84.57142857,141,124,150
2013,13,124,20.81428571,21.7,21.95714286,21.7,50.3,75,41.1,25.3,85.42857143,84.42857143,82.28571429,83.28571429,145,141,131
2013,14,200,21.78571429,20.81428571,21.7,21.95714286,53.7,50.3,75,41.1,83.14285714,85.42857143,84.42857143,82.28571429,124,145,124
2013,15,208,21.67142857,21.78571429,20.81428571,21.7,101.1,53.7,50.3,75,84.28571429,83.14285714,85.42857143,84.42857143,200,124,141
2013,16,249,22.14285714,21.67142857,21.78571429,20.81428571,13.2,101.1,53.7,50.3,82.14285714,84.28571429,83.14285714,85.42857143,208,200,145
2013,17,233,21.14285714,22.14285714,21.67142857,21.78571429,67.4,13.2,101.1,53.7,84.57142857,82.14285714,84.28571429,83.14285714,249,208,124
2013,18,229,21.21428571,21.14285714,22.14285714,21.67142857,47,67.4,13.2,101.1,84.28571429,84.57142857,82.14285714,84.28571429,233,249,200
2013,19,205,21.37142857,21.21428571,21.14285714,22.14285714,68.5,47,67.4,13.2,83.28571429,84.28571429,84.57142857,82.14285714,229,233,208
2013,20,193,21.44285714,21.37142857,21.21428571,21.14285714,52.2,68.5,47,67.4,82.28571429,83.28571429,84.28571429,84.57142857,205,229,249
2013,21,214,21.5,21.44285714,21.37142857,21.21428571,21.4,52.2,68.5,47,84,82.28571429,83.28571429,84.28571429,193,205,233
